pmid,var_a,var_b,title,phrase_a,phrase_b,lit_sign,lit_est,basis,polarity_flipped,corpus_sign,corpus_absmag,corpus_q,agree,ta,tb,bb,lifestyle
30095318,platelet,insulin_resistance,Relationship Between Platelet Count and Insulin Resistance in Korean Adolescents: A Nationwide Population-Based Study.,Platelet Count,Insulin Resistance,1,,wording,,1,0.0752089220414231,0.0037279439226055,True,c,b,False,False
30059635,smoking,htn,"The association of smoking and hypertension according to cotinine-verified smoking status in 25,150 Korean adults.",smoking,hypertension according to cotinine-verified smoking status,1,1.2,effect size,,1,0.2328598980357011,1.976295436573446e-06,True,b,b,True,True
31852225,uric,prediabetes,Association Between Serum Uric Acid and Prediabetes in the Korean General Population.,Serum Uric Acid,Prediabetes,1,1.84,effect size,,1,0.156306644925914,5.476300463355455e-13,True,c,b,False,False
31634043,sarcopenia,mets,Association of Sarcopenia with Metabolic Syndrome in Korean Population Using 2009-2010 Korea National Health and Nutrition Examination Survey.,Sarcopenia,Metabolic Syndrome,1,2.13,effect size,,-1,1.1935785403531072,1.4886046943933672e-16,False,b,b,True,False
31474679,vitd,steatosis,Association between Vitamin D Status and Non-Alcoholic Fatty Liver Disease: A Population-Based Study.,Vitamin D Status,Non-Alcoholic Fatty Liver Disease,1,1.314,effect size,,-1,0.3105139585141629,0.0080530566368898,False,c,b,False,False
31110956,vitd_deficiency,steatosis,Association Between Vitamin D Deficiency and Suspected Nonalcoholic Fatty Liver Disease in an Adolescent Population.,Vitamin D Deficiency,Suspected Nonalcoholic Fatty Liver Disease,1,1.77,effect size,,1,0.1668925077766233,0.0106351660922057,True,b,b,True,False
30762781,smoking,uric,Association between smoking and serum uric acid in Korean population: Data from the seventh Korea national health and nutrition examination survey 2016.,smoking,serum uric acid,1,2.674,effect size,,1,0.0263488759816256,0.2857185156292451,True,b,c,False,True
33390392,sarcopenia,vitd,Low Muscle Mass Is Associated with Lower 25-Hydroxyvitamin D Level in All Age Groups of South Korean Adults: The 2009-2010 Korea National Health and Nutrition Examination Surveys (KNHANES).,Low Muscle Mass,Lower 25-Hydroxyvitamin D Level,1,,wording,vitd,-1,0.2072049329191309,0.0037006448023207,False,b,c,False,False
33178270,mets,overweight,Association between Parent's Metabolic Syndrome and 12- to18-Year-Old Offspring's Overweight: Results from the Korea National Health and Nutrition Examination Survey (K-NHANES) 2009-2016.,Parent's Metabolic Syndrome,12- to18-Year-Old Offspring's Overweight,1,,wording,,1,2.0691420849873072,0.0,True,b,b,True,False
33093820,smoking,uric,Association of urinary cotinine-verified smoking status with hyperuricemia: Analysis of population-based nationally representative data.,urinary cotinine-verified smoking status,hyperuricemia,1,,wording,,1,0.0263488759816256,0.2857185156292451,True,b,c,False,True
