exp,out,measure,est_mec,p_mec,est_saf,p_saf
hemoglobin,dm,OR,0.826574634524558,2.34634790373794e-07,0.838522810872896,1.43242395989985e-06
platelet,dm,OR,1.01519861454205,0.642879779895817,1.01493611294395,0.647670703884562
wbc,dm,OR,1.38380727652984,8.587689606904469e-12,1.3839421721622,5.05477943039976e-12
fib4,dm,OR,0.973057285561911,0.41996715768567,0.973331403410164,0.423099155050136
vitd,dm,OR,0.840461978830332,7.24109257545174e-06,0.842777504096544,9.68832915613364e-06
fn_bmd,dm,OR,1.11419931244447,0.0361889348772188,1.10598171684505,0.0519413222576819
ls_bmd,dm,OR,1.04208619709672,0.420707782201958,1.03653611244246,0.487609265579126
ggt,dm,OR,1.25633527083367,2.04157144202894e-16,1.24836129341866,4.3350007546988897e-16
uric,dm,OR,0.924895083412901,0.0486150367364776,0.921639049856213,0.0379338705657163
cap,dm,OR,2.03223607534516,0.0015222887184014,2.00696633567989,0.0014371498090397
lsm,dm,OR,1.05770296664623,0.677989074967523,1.03399143632471,0.796314800646218
htn,dm,OR,2.17822953035158,4.46620994780428e-19,2.17205064700177,4.427767936982981e-19
dyslipidemia,dm,OR,2.43160343746267,6.53273245699562e-24,2.39709917469538,2.05175064040282e-23
low_hdl,dm,OR,2.18423281208954,1.9370022015043901e-19,2.16474772805418,7.952713779852271e-19
high_tg,dm,OR,2.10486006602854,2.4370737551093402e-20,2.09099873746833,1.65568544527358e-20
high_ldl,dm,OR,0.82336579698026,0.0659690114832949,0.828512841555667,0.0706740741132259
high_nonhdl,dm,OR,1.16021515766996,0.132377850700622,1.15465097872037,0.127504555586342
atherogenic_dyslipidemia,dm,OR,2.43389770918916,2.26703342656585e-19,2.4053520095821,2.9297410048523103e-19
ckd,dm,OR,2.56092139110334,6.90045539970436e-24,2.58423029638238,8.44340477898168e-25
high_alt,dm,OR,1.87652135811073,7.870464713453361e-09,1.84795079028019,2.09779910009663e-08
high_ast,dm,OR,2.17098850824082,7.2277863410410004e-12,2.18486641194701,8.82531117304979e-12
adv_fibrosis,dm,OR,1.03720542413597,0.792413941621439,1.021493648896,0.871954095403588
anemia,dm,OR,1.6267345043428,1.354307162801e-06,1.58256470459843,3.51725874672144e-06
leukocytosis,dm,OR,2.07216951084578,2.089614975354e-07,2.1103233388233,6.55150650392834e-08
vitd_deficiency,dm,OR,1.51023255570769,1.24010156676236e-07,1.48223678225268,2.09031029998571e-07
osteoporosis,dm,OR,0.828999111452863,0.324725743809029,0.858113529080869,0.428856764049969
current_smoking,dm,OR,1.18083037564439,0.0348688210428507,1.18304770261245,0.0326731944441263
age,mets,OR,1.93639593102623,9.614676942940371e-52,1.95497049426337,4.90599628856741e-52
men,mets,OR,1.07861010074249,0.104180261324948,1.07733489216932,0.10980974737237
bmi,mets,OR,3.69315119202586,4.02385499233819e-61,3.67130902385844,2.5250074383876802e-61
height,mets,OR,1.11947324124523,0.0009111305139724,1.11804260202865,0.0010067265331306
weight,mets,OR,3.63745069837702,8.690882226566049e-62,3.60687907891896,4.17188675374652e-62
hba1c,mets,OR,2.80540010263819,3.42212523735934e-28,2.76548399987464,1.53458660254252e-25
tchol,mets,OR,1.07302379763365,0.0067417329538564,1.0780714887539,0.0042979825068692
ldl,mets,OR,1.03596762947389,0.150451778326713,1.04285062655647,0.0954794526715184
alt,mets,OR,1.66545715351717,8.99274909589736e-21,1.67487033056344,1.4558682509734e-21
ast,mets,OR,1.1491463951599,0.000196630281086,1.14989826141908,0.0002765176251528
creatinine,mets,OR,0.982605401870427,0.503575215735815,0.977663846009697,0.376188367269016
egfr,mets,OR,1.0076976228252,0.824393570929058,1.01465294736675,0.671746678779489
hemoglobin,mets,OR,1.20304273419804,1.3702816561502902e-09,1.20599405909992,4.00402020545024e-10
platelet,mets,OR,1.20315469797896,5.3798562987227e-11,1.20822226710769,1.96549718928388e-11
wbc,mets,OR,1.87654051785286,6.81096586805579e-34,1.87404031045816,1.04592742438208e-34
fib4,mets,OR,0.754137715433783,6.37399492579127e-08,0.749656787779147,2.69657427373706e-08
