survey,outcome,measure,pairs,sig,pct_sig,med_eff,med_n,min_n,max_n
NHANES,Vitamin D deficiency (<20 ng/mL),OR,67,41,61.19402985074627,0.19786273004329383,24836.0,24836,24836
NHANES,"White blood cell count, 10^3/uL",beta,67,52,77.61194029850746,0.30788949263243,25491.0,25491,25491
NHANES,"Controlled attenuation parameter, dB/m",beta,66,47,71.21212121212122,10.820096606831651,3001.0,3001,3001
NHANES,"Serum creatinine, mg/dL",beta,66,40,60.60606060606061,0.017202917565022603,22274.0,22274,22274
NHANES,"Liver stiffness, kPa",beta,66,24,36.36363636363637,0.5438251886947101,3001.0,3001,3001
NHANES,"Osteoporosis (T-score<=-2.5, age>=50)",OR,66,22,33.333333333333336,0.1560889351253131,6930.0,6930,6930
NHANES,"Age, years",beta,64,56,87.5,3.01039270913551,26892.0,26892,26892
NHANES,"Diastolic blood pressure, mmHg",beta,64,47,73.4375,1.38264070300466,24727.0,24727,24727
NHANES,"Systolic blood pressure, mmHg",beta,64,53,82.8125,1.660866915337675,24727.0,24727,24727
NHANES,Anemia (WHO),OR,63,38,60.317460317460316,0.2153061647778366,25491.0,25491,25491
NHANES,Hypertension,OR,63,48,76.19047619047619,0.27761043284358333,25491.0,25491,25491
NHANES,Hypertriglyceridemia (NCEP TG>=150),OR,62,50,80.64516129032258,0.3663691431467184,12287.0,12287,12287
NHANES,"Fasting insulin, uIU/mL",beta,62,44,70.96774193548387,1.937625027164625,12285.0,12285,12285
NHANES,"Platelet count, 10^3/uL",beta,62,46,74.19354838709677,5.545661983980105,25490.0,25490,25490
NHANES,"Triglycerides, mg/dL",beta,62,49,79.03225806451613,17.1843542732611,12287.0,12287,12287
NHANES,High LDL cholesterol (>=160),OR,61,26,42.622950819672134,0.1550072548648819,12093.0,12093,12093
NHANES,"LDL cholesterol, mg/dL",beta,61,38,62.295081967213115,2.28249134010245,12093.0,12093,12093
NHANES,"Total cholesterol, mg/dL",beta,61,40,65.57377049180327,3.14790361265486,25076.0,25076,25076
NHANES,"Alanine aminotransferase, IU/L",beta,60,52,86.66666666666667,2.645248081273265,24922.0,24922,24922
NHANES,"Aspartate aminotransferase, IU/L",beta,60,35,58.333333333333336,0.640595176306777,24907.0,24907,24907
NHANES,Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30),OR,60,30,50.0,0.11118815270780788,26551.0,26551,26551
NHANES,"eGFR (CKD-EPI 2021), mL/min/1.73m2",beta,60,39,65.0,0.7469321426630855,22274.0,22274,22274
NHANES,"HbA1c, %",beta,60,51,85.0,0.1403589468853505,25480.0,25480,25480
NHANES,Elevated ALT (>40 IU/L),OR,60,50,83.33333333333333,0.3834073379432435,24922.0,24922,24922
NHANES,Elevated AST (>40 IU/L),OR,60,43,71.66666666666667,0.25128134127628093,24907.0,24907,24907
NHANES,Diabetes mellitus,OR,59,48,81.35593220338983,0.399366160834343,25660.0,25660,25660
NHANES,"Fasting glucose, mg/dL",beta,59,42,71.1864406779661,3.74376049987572,12581.0,12581,12581
NHANES,HOMA-IR,beta,59,40,67.79661016949153,0.691665594143414,12256.0,12256,12256
