papers,in_corpus,abs_log_or,a,b
1,True,0.006422595654698023,"Age, years","Low muscle mass (low ASMI, AWGS cut)"
1,True,0.5140915327887133,"Total fat mass, kg",Hypertension
3,True,0.21336499088209354,Diabetes mellitus,"Hemoglobin, g/dL"
2,True,0.40500864071247933,"Obesity (KSSO >=25 / WHO >=30, country-specific)","Hemoglobin, g/dL"
2,True,1.1514867536975268,Insulin resistance (HOMA-IR>=2.5),"Appendicular skeletal muscle mass, kg"
2,True,1.4939483414713801,"Total fat mass, kg",Insulin resistance (HOMA-IR>=2.5)
1,True,0.15545846734342753,Prediabetes,"Serum uric acid, mg/dL"
3,True,0.021364953098904304,"Serum uric acid, mg/dL",Anemia (WHO)
1,False,,Insulin resistance (HOMA-IR>=2.5),Metabolic syndrome
1,True,0.0846798627909996,"Height, cm",Dyslipidemia (KSoLA composite)
2,False,,Hypertension,Hepatic steatosis
2,False,,Diabetes mellitus,"HbA1c, %"
5,True,0.3105139585141629,"Serum 25(OH)D, ng/mL",Hepatic steatosis
1,True,0.7284701426819292,"Triglycerides, mg/dL",Insulin resistance (HOMA-IR>=2.5)
1,True,,"Appendicular skeletal muscle mass, kg","HDL cholesterol, mg/dL"
4,False,,"Obesity (KSSO >=25 / WHO >=30, country-specific)",Hepatic steatosis
1,False,,"Obesity (KSSO >=25 / WHO >=30, country-specific)","Height, cm"
1,True,0.2416152522125289,Hypertension,Vitamin D deficiency (<20 ng/mL)
1,True,0.3825195197220618,Ever smoking (past/current),"Low muscle mass (low ASMI, AWGS cut)"
1,True,,"Serum 25(OH)D, ng/mL","eGFR (CKD-EPI 2021), mL/min/1.73m2"
4,True,0.02634887598162569,Ever smoking (past/current),"Serum uric acid, mg/dL"
7,True,0.20720493291913097,"Serum 25(OH)D, ng/mL","Low muscle mass (low ASMI, AWGS cut)"
2,True,,"Serum 25(OH)D, ng/mL","Serum uric acid, mg/dL"
1,True,2.5496269130529785,"Overweight (KSSO >=23 / WHO >=25, country-specific)",Metabolic syndrome
1,True,1.4494621077056478,Insulin resistance (HOMA-IR>=2.5),"Body mass index, kg/m2"
2,True,0.7986073741547121,Hypertension,Diabetes mellitus
1,True,0.07024904832824636,Ever smoking (past/current),"Overweight (KSSO >=23 / WHO >=25, country-specific)"
2,True,0.14270295530828936,"Obesity (KSSO >=25 / WHO >=30, country-specific)","eGFR (CKD-EPI 2021), mL/min/1.73m2"
2,False,,Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30),Hepatic steatosis
1,True,,"Platelet count, 10^3/uL","Femoral neck BMD, g/cm2"
1,True,0.22056927233184687,"Serum uric acid, mg/dL",Dyslipidemia (KSoLA composite)
1,False,,Diabetes mellitus,Hepatic steatosis
3,True,0.31313564775371716,Hypertension,"Serum uric acid, mg/dL"
1,True,0.6267387940931085,Hypertension,"Waist circumference, cm"
4,True,0.7636503216518157,Diabetes mellitus,Anemia (WHO)
1,True,,"HbA1c, %","HDL cholesterol, mg/dL"
4,True,0.907937352800752,Chronic kidney disease (KDIGO: eGFR<60 or ACR>=30),Metabolic syndrome
1,True,,"Lumbar spine BMD, g/cm2","Serum uric acid, mg/dL"
1,True,0.310755120013431,Ever alcohol (past/current),Hepatic steatosis
2,True,0.062116652744355544,"Serum 25(OH)D, ng/mL",Prediabetes
1,True,,"ASM / height^2, kg/m2","LDL cholesterol, mg/dL"
1,True,0.4150054306857624,"Low muscle mass (low ASMI, AWGS cut)","Triglycerides, mg/dL"
2,True,1.8065970074437538,"Appendicular skeletal muscle mass, kg",Hepatic steatosis
2,True,0.803380265948806,"Body fat, %",Diabetes mellitus
3,True,0.5285740681323298,"Femoral neck BMD, g/cm2",Hepatic steatosis
3,True,,"Femoral neck BMD, g/cm2","Total cholesterol, mg/dL"
2,True,0.22829542937205477,"Femoral neck BMD, g/cm2",Insulin resistance (HOMA-IR>=2.5)
1,True,,"Femoral neck BMD, g/cm2","LDL cholesterol, mg/dL"
2,True,,"Triglycerides, mg/dL","Femoral neck BMD, g/cm2"
1,True,,"Femoral neck BMD, g/cm2","Waist circumference, cm"
1,True,,"Liver stiffness, kPa","Femoral neck BMD, g/cm2"
2,False,,Insulin resistance (HOMA-IR>=2.5),Hepatic steatosis
1,True,,"Liver stiffness, kPa","Serum uric acid, mg/dL"
1,True,,"Fasting glucose, mg/dL","Serum uric acid, mg/dL"
