exp,out,measure,est,lo,hi,p,n,adj,q
asmm_kg,sbp,beta,3.20829884000464,2.49215150388752,3.92444617612175,2.9245006147913504e-17,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",8.194185493472662e-17
asmi,sbp,beta,3.29076331986737,2.6435922085417,3.93793443119305,2.22379010743528e-21,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",6.937279679705099e-21
bodyfat_pct,sbp,beta,3.29370453483317,2.61976623277216,3.96764283689418,5.3768987451901204e-20,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.6116967983454982e-19
asm_pct,sbp,beta,-3.50868663582309,-4.32841081235052,-2.68896245929566,5.57366396211957e-16,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.507714629384418e-15
obesity,sbp,beta,6.12851767450183,5.76566065775161,6.49137469125205,4.41697570654223e-204,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.1785294271546767e-202
overweight,sbp,beta,5.70150010346463,5.35364071392265,6.04935949300662,6.205212698941141e-194,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.4099844597206902e-192
abdominal_obesity,sbp,beta,5.78678791507043,5.39812350006943,6.17545233007143,2.71978222156765e-164,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",4.354124083800574e-163
central_obesity,sbp,beta,6.28968193488102,5.9166428258467,6.66272104391534,2.03280807324678e-203,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",5.225948929908875e-202
high_bodyfat,sbp,beta,3.66767086188891,2.65485879068053,4.6804829330973,4.62236630728337e-12,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.1120200911374337e-11
sarcopenia,sbp,beta,-3.71195102939043,-4.98807559180528,-2.43582646697557,2.08771696936638e-08,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",4.361173882626566e-08
dbp,sbp,beta,9.8848295710576,9.71551326495919,10.054145877156,0.0,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0
glucose,sbp,beta,0.849021489782579,0.614179888507411,1.08386309105775,1.7270238588728498e-12,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",4.218153974306642e-12
hba1c,sbp,beta,0.360401282209697,0.137668546554367,0.583134017865028,0.0015340239399563,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0023916920391881757
homa_ir,sbp,beta,1.37006150878628,1.06109307223083,1.67902994534173,1.1183773951824e-17,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",3.1688859097605893e-17
tg,sbp,beta,1.28169532089286,1.07427996754879,1.48911067423694,5.6786159561614596e-33,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",2.2650153338166095e-32
tchol,sbp,beta,0.935006988237234,0.756172391055923,1.11384158541854,3.13256246597206e-24,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.045771090535886e-23
hdl,sbp,beta,0.565294044070086,0.391592998661988,0.738995089478183,2.07289924637987e-10,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",4.713202805519627e-10
ldl,sbp,beta,0.171334261972847,-0.128813247999606,0.4714817719453,0.263331587638373,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.308124203210083
nonhdl,sbp,beta,0.784746518046126,0.601382743055389,0.968110293036862,7.60600508885089e-17,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",2.101047052779046e-16
alt,sbp,beta,0.579664611791651,0.35914866986082,0.800180553722482,2.7473578444923e-07,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",5.460606280080069e-07
ast,sbp,beta,0.635985212383451,0.42045158452802,0.851518840238881,8.100232415731891e-09,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.7248499738940578e-08
creatinine,sbp,beta,0.233236961840264,-0.0422916860539575,0.508765609734485,0.0972034188310587,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.12178955571788998
egfr,sbp,beta,0.119553655323148,-0.161400968130085,0.400508278776382,0.404338287107663,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.45497745916715304
hemoglobin,sbp,beta,1.82836837085767,1.57955726294198,2.07717947877337,1.78584162330975e-45,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",8.833896344518173e-45
platelet,sbp,beta,0.570966539030627,0.392556857603344,0.74937622045791,4.1001278896998005e-10,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",9.192011729804391e-10
wbc,sbp,beta,0.737156099498535,0.549873257117298,0.924438941879772,1.6569827003953e-14,37324,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",4.29741757790298e-14
