exp,out,measure,est,lo,hi,p,n,adj,q
central_obesity,glucose,beta,8.77484331156299,7.02739520104574,10.5222914220802,4.40293976173014e-17,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",2.1241499630981017e-16
high_bodyfat,glucose,beta,7.66344494239353,5.57594832012198,9.75094156466507,4.81463000224209e-10,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",1.4628783632004385e-09
sarcopenia,glucose,beta,3.60808857466063,-8.77046226362187,15.9866394129431,0.569576069948979,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current)",0.6231313420127659
sbp,glucose,beta,2.38982878959775,1.59336036438312,3.18629721481239,3.88471432246529e-08,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.0258965193372955e-07
dbp,glucose,beta,0.757914397339072,-0.0005802187481324,1.51640901342628,0.0525307787372368,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.07200684708402938
tg,glucose,beta,5.52587691124824,4.19028618191487,6.86146764058161,5.39578682748705e-13,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.9652624167213852e-12
tchol,glucose,beta,-0.662847842124863,-1.49335792732076,0.167662243071037,0.120420879815004,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.15412002605893105
hdl,glucose,beta,-3.74376049987572,-4.54890780354632,-2.93861319620512,2.49587603187116e-15,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.0503920832002456e-14
ldl,glucose,beta,-1.55993286852819,-2.29256733959968,-0.827298397456704,5.76956448272393e-05,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.00011603658918991291
nonhdl,glucose,beta,0.537480568500361,-0.26207329121112,1.33703442821184,0.190202721123189,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.2341138658255556
alt,glucose,beta,2.56589825541037,1.53064088698274,3.60115562383801,3.68217689808438e-06,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",8.248409857769993e-06
ast,glucose,beta,0.531198396936322,-0.384325996021108,1.44672278989375,0.257752059459913,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.3089882802169523
creatinine,glucose,beta,-1.29415590745623,-2.30965002029974,-0.278661794612726,0.0140777789547991,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.021175548876496288
egfr,glucose,beta,2.60758201044313,1.29378072912803,3.92138329175824,0.0001778265909506,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0003426604938142102
hemoglobin,glucose,beta,0.870961394458624,-0.0423141839362611,1.78423697285351,0.0640757396824934,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.08633638494003538
platelet,glucose,beta,-0.540068391663076,-1.23310528175652,0.152968498430372,0.12934144796777,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.16415616559528332
wbc,glucose,beta,3.04984816163611,2.15669994727906,3.94299637599315,7.772596388128811e-10,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",2.322386050712808e-09
fib4,glucose,beta,-0.407196837015525,-1.10911724213445,0.294723568103402,0.257828693881739,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.3089882802169523
vitd,glucose,beta,-2.14172041332776,-2.79229876624411,-1.49114206041142,2.5350599659934703e-09,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",7.293597982160122e-09
fn_bmd,glucose,beta,0.802326585483929,-0.28950908890866,1.89416225987652,0.154180566792355,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.19271352993066554
ls_bmd,glucose,beta,0.445349283125015,-0.864961485085017,1.75566005133505,0.507463739646185,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.5651820253491857
ggt,glucose,beta,2.77942318105598,1.79469667222722,3.76414968988474,1.93329833689613e-07,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",4.828363775733011e-07
uric,glucose,beta,-2.75517746383828,-3.9200588475411,-1.59029608013546,9.24914183898979e-06,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",2.013737210514233e-05
cap,glucose,beta,8.12122377684658,4.88291371238206,11.3595338413111,0.0008298426164091,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0014821026593744467
lsm,glucose,beta,2.76684797623524,-2.6513094243765,8.18500537684697,0.34302513583355,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.39900248084608164
htn,glucose,beta,8.27334631672195,6.43858130268887,10.108111330755,1.1042171167850201e-14,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",4.443827989828627e-14
dyslipidemia,glucose,beta,6.92553894761559,5.59922573799105,8.25185215724012,5.56507597632485e-18,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",2.829748144259782e-17
low_hdl,glucose,beta,7.69491864334199,6.0260051558416,9.36383213084238,3.7752647813949e-15,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",1.5622329994977222e-14
high_tg,glucose,beta,9.28603658476284,7.32366759555995,11.2484055739657,1.0418956813575e-15,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",4.524411981833447e-15
high_ldl,glucose,beta,0.106370613793508,-1.92579696530248,2.1385381928895,0.918460051485149,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.9307795827066061
high_nonhdl,glucose,beta,3.55685463991249,0.869800618332112,6.24390866149288,0.0106748968111485,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.016323885498609768
atherogenic_dyslipidemia,glucose,beta,12.1261914104256,9.26964975197302,14.9827330688781,1.7634375733941899e-13,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",6.650294604716316e-13
ckd,glucose,beta,15.0845504001371,11.6184864231604,18.5506143771138,5.76401276765387e-14,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",2.2399248044045885e-13
high_alt,glucose,beta,6.36405914421535,3.48972823898599,9.23839004944471,3.02889029500016e-05,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",6.280026209130311e-05
high_ast,glucose,beta,8.60817283543122,4.65494450852509,12.5614011623373,4.00680147699741e-05,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",8.238516966217127e-05
adv_fibrosis,glucose,beta,0.762021572231393,-3.0513505885093,4.57539373297209,0.696012574559043,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.73601329723485
anemia,glucose,beta,0.137271592524342,-2.90161966762775,3.17616285267643,0.929600485834492,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.9388561455096375
leukocytosis,glucose,beta,9.36879013858564,4.15875520983942,14.5788250673319,0.0006047341912656,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.0011039817538748102
vitd_deficiency,glucose,beta,4.3454870219498,2.69228704859906,5.99868699530053,1.04618712378095e-06,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",2.459130280259916e-06
osteoporosis,glucose,beta,0.713047431701116,-4.74328325627336,6.16937811967559,0.798585052959424,12581,"Age, years, Male sex, Ever smoking (past/current), Ever alcohol (past/current), Body mass index, kg/m2",0.8259352861457466
current_smoking,glucose,beta,1.69983165853314,-0.0261630876374139,3.4258264047037,0.0559504310506923,12581,"Age, years, Male sex, Ever alcohol (past/current), Body mass index, kg/m2",0.07635043298949248
age,hba1c,beta,0.281471596277778,0.270492011078695,0.292451181476861,7.74498305200633e-84,25480,unadjusted,4.377021850533864e-81
men,hba1c,beta,0.0507069925041959,0.0273584887283611,0.0740554962800307,4.07826972739146e-05,25480,unadjusted,8.368067967614429e-05
